analysis_id,2e1w43jk770975g
pvalue,0.1715836
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_id,IMPC_HEM_031_001
gene_symbol,HSPA5
mouse_life_stage,E9.5
parameter_name,Lymphocyte differential count
