gene_symbol,Opn3
mouse_life_stage,Early adult
parameter_id,MGP_MLN_058_001
gene_accession_id,MGI:1338022
parameter_name,Plasmacytoid DC - % of DC
analysis_id,9v2a7y7ylm5y1b2
mouse_strain,C57BL
pvalue,0.7926351
