analysis_id,7m3rn65ng517p8o
pvalue,0.3212874
mouse_life_stage,Late adult
gene_symbol,Nucks1
parameter_id,IMPC_HEM_003_001
gene_accession_id,MGI:1934811
parameter_name,Hemoglobin
mouse_strain,C57BL
