parameter_name,Respiration Rate
gene_accession_id,MGI:2385884
pvalue,0.4229611
parameter_id,IMPC_ECH_018_001
gene_symbol,Ddx27
mouse_life_stage,Early adult
analysis_id,76307439b3du87h
mouse_strain,129SV
