analysis_id,5s84c6o1ay36afl
gene_symbol,Nr0b2
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_066_001
parameter_name,Sacral processes
pvalue,0.05879986
gene_accession_id,MGI:1346344
mouse_strain,B6J
