analysis_id,26en787318458d1
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:1332236
mouse_strain,C57BL
pvalue,0.631675
parameter_name,MZB (CD21/35 high)
gene_symbol,Cds2
mouse_life_stage,Early adult
