parameter_id,IMPC_IMM_065_001
parameter_name,B2B Cells
gene_symbol,Tbl1xr1
mouse_strain,C57BL
pvalue,0.5201904
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
analysis_id,716475k44970975
