gene_symbol,Ddx27
mouse_life_stage,Early adult
pvalue,0.05348023
parameter_name,CD11b-high cDC - % of CD45+
analysis_id,012wm93ncx2j088
gene_accession_id,MGI:2385884
mouse_strain,C57BL
parameter_id,MGP_IMM_129_001
