analysis_id,w74np5mn0i417m8
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_id,IMPC_LDT_006_001
mouse_strain,C57BL
parameter_name,Latency to first transition into dark
mouse_life_stage,Early adult
pvalue,0.2441544
