analysis_id,ate030508z9pkb9
parameter_name,Effector CD8+ T cells - % of CD8+
gene_symbol,Exd1
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
pvalue,0.9043834
parameter_id,MGP_MLN_013_001
mouse_strain,C57BL
