parameter_name,Mean-cell-volume
analysis_id,4d1ye8s74h2d904
gene_symbol,Nr0b2
mouse_life_stage,Early adult
pvalue,0.1270825
mouse_strain,B6J
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:1346344
