parameter_name,Liver weight
mouse_life_stage,Early adult
parameter_id,UCD_OWT_008_001
analysis_id,6e857f6d7hom4p8
mouse_strain,C57BL
gene_accession_id,MGI:105072
pvalue,0.9091423
gene_symbol,Rab22a
