gene_symbol,Arpc5l
mouse_life_stage,Early adult
analysis_id,wvk214nfq3138o7
pvalue,0.346144
parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:1921442
