pvalue,0.4702371
analysis_id,i9i089hol9lro39
mouse_strain,C52BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
parameter_id,MGP_MLN_070_001
parameter_name,Effector Treg cells - % of CD45+
