mouse_strain,C57BL
analysis_id,899gehohgj80u8i
gene_accession_id,MGI:1913405
parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
mouse_life_stage,Early adult
gene_symbol,Ufc1
pvalue,0.3565553
