gene_symbol,Tubb4b
analysis_id,g797936mftc5qan
pvalue,0.7476231
mouse_strain,C57BL
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
