analysis_id,62p65wshu161zx1
gene_symbol,Morn5
parameter_id,IMPC_DXA_004_001
mouse_strain,C57BL
gene_accession_id,MGI:1922745
pvalue,0.3778192
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
