analysis_id,10k6fpwih2q524w
parameter_id,M-G-P_020_001_001
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
pvalue,0.8852461
parameter_name,Body Weight
mouse_life_stage,Early adult
mouse_strain,129SV
