parameter_name,cDCs CD11b Type
gene_symbol,Alkbh3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
analysis_id,937ob06j0y52799
pvalue,0.08694639
gene_accession_id,MGI:1916363
