analysis_id,6nh255rfn3kl8e7
pvalue,0.2159388
parameter_id,MGP_MLN_005_001
gene_symbol,Sfpq
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1918764
