parameter_name,Narrow eye opening
gene_symbol,Dnajc6
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
analysis_id,9f0747n3retnt4a
parameter_id,IMPC_EYE_006_001
pvalue,0.1678386
