gene_symbol,Cisd2
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_002
pvalue,0.4393837
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:1914256
analysis_id,ccdzu0yh9w2f7jj
mouse_strain,C57BL
