analysis_id,1eccg52rf729q2h
pvalue,0.224889
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_name,B Cells
parameter_id,IMPC_IMM_063_001
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
