gene_symbol,Sdcbp2
parameter_id,MGP_MLN_074_001
analysis_id,1enxak6g5n0ctg7
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6935747
gene_accession_id,MGI:2385156
