gene_symbol,Dmap1
pvalue,0.1447196
gene_accession_id,MGI:1913483
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_IMM_070_001
mouse_strain,C57BL
analysis_id,0148a5cfa7h0yzc
mouse_life_stage,E9.5
