gene_symbol,Cisd2
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
pvalue,0.9993644
parameter_id,HMGULA_CBC_005_001
mouse_strain,C57BL
parameter_name,Creatinine
analysis_id,kskw845n4sj43dq
