gene_symbol,Cpa3
mouse_life_stage,Early adult
pvalue,0.7755413
parameter_name,Hindlimbs - size
parameter_id,JAXLA_CSD_022_001
mouse_strain,C57BL
gene_accession_id,MGI:88479
analysis_id,im4f7b68kxw14u8
