analysis_id,3a8a77x5b3snjm2
parameter_name,% Pre-pulse inhibition - PPI3
parameter_id,IMPC_ACS_035_001
pvalue,0.8971414
mouse_strain,C57BL
gene_symbol,Hpca
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
