analysis_id,u0284gplw010921
mouse_strain,C57BL
gene_symbol,Ubxn11
parameter_name,Retina (combined)
gene_accession_id,MGI:1914836
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Early adult
pvalue,0.8310686
