parameter_name,Tail bud morphology
gene_symbol,AU040320
mouse_strain,C57BL
pvalue,0.6725018
analysis_id,u93p3542rjc5662
parameter_id,IMPC_GEL_033_001
gene_accession_id,MGI:2140475
mouse_life_stage,Late adult
