parameter_name,MZB (CD21/35 high)
gene_symbol,Slc30a4
analysis_id,69ss53513y17wxi
pvalue,0.9153723
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
