parameter_name,Vocalization
mouse_strain,C57BL
pvalue,0.4527808
gene_symbol,Cpa3
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
analysis_id,ges4908w21g8etl
gene_accession_id,MGI:88479
