analysis_id,3arv5c0llb594w9
mouse_strain,C57BL
parameter_name,Lens
mouse_life_stage,E15.5
gene_symbol,Mecom
gene_accession_id,MGI:95457
pvalue,0.2816868
parameter_id,IMPC_EYE_016_001
