parameter_name,Vitreous
pvalue,0.5658408
analysis_id,8jba88lg234p6j6
gene_symbol,Bcs1l
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,UCDLA_EYE_083_001
gene_accession_id,MGI:1914071
