analysis_id,q6490s2n140872e
pvalue,0.8664944
mouse_life_stage,E9.5
gene_symbol,Ahcy
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP3
gene_accession_id,MGI:87968
