parameter_id,IMPC_DXA_007_001
pvalue,0.7846993
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
analysis_id,8fu1n7y0l68q871
mouse_strain,C57BL
gene_symbol,Nanp
parameter_name,BMC/Body weight
