analysis_id,560jk41m2uylk58
gene_accession_id,MGI:88380
parameter_name,Number of rears - total
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5986811
parameter_id,JAX_OFD_021_001
gene_symbol,F2
