analysis_id,61jn4mmq98by060
mouse_strain,C57BL
gene_symbol,Zcchc2
pvalue,0.5631465
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_id,MGP_IMM_015_001
parameter_name,Resting CD8+ T cells - % of CD8+
