analysis_id,7z507ox3263045x
parameter_id,ESLIM_016_001_003
pvalue,0.896928
mouse_life_stage,Early adult
gene_symbol,Rgs20
mouse_strain,C57BL
parameter_name,Haemoglobin
gene_accession_id,MGI:1929866
