analysis_id,46j2l1jwu75ult9
pvalue,0.2146496
mouse_strain,C57BL
gene_symbol,Ppm1j
mouse_life_stage,Early adult
gene_accession_id,MGI:1919137
parameter_id,IMPC_OFD_016_001
parameter_name,Center permanence time
