analysis_id,9u899m3of29sxj2
mouse_strain,C57BL
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
gene_symbol,Inpp1
parameter_id,ESLIM_011_001_703
parameter_name,Prepulse inhibition - PP3
pvalue,0.2905201
