parameter_id,GMC_906_001_005
mouse_strain,C57BL
parameter_name,Potassium
gene_symbol,Inpp1
gene_accession_id,MGI:104848
pvalue,0.1845776
mouse_life_stage,Early adult
analysis_id,t667d62137774ta
