analysis_id,k4p35s76b37hyj4
pvalue,0.4243793
mouse_life_stage,Early adult
parameter_name,Snout morphology
mouse_strain,C57BL
gene_symbol,Lime1
gene_accession_id,MGI:1919949
parameter_id,MGP_CSD_066_001
