gene_symbol,Ninl
parameter_id,HRWLLA_OFD_020_001
analysis_id,5k507m2ee1683w0
mouse_life_stage,Early adult
pvalue,0.5985475
mouse_strain,C57BL
gene_accession_id,MGI:1925427
parameter_name,Distance travelled - total
