parameter_name,HRV
analysis_id,0z0j1306n8cy89r
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1931749
pvalue,0.2703928
gene_symbol,Pum1
mouse_life_stage,Early adult
