parameter_id,M-G-P_020_001_001
analysis_id,z2n0z99p3k97373
parameter_name,Body Weight
gene_symbol,Rap2b
mouse_life_stage,Early adult
pvalue,0.2894829
gene_accession_id,MGI:1921262
mouse_strain,C57BL
