parameter_name,center - distance
analysis_id,68pt24xt40pw5yk
mouse_strain,C57BL
pvalue,0.09270812
mouse_life_stage,E9.5
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
