analysis_id,736v11v5b8j7255
gene_accession_id,MGI:1917604
parameter_id,JAX_OFD_013_001
parameter_name,Periphery average speed
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Secisbp2l
pvalue,0.2076477
