analysis_id,r96869a4b7mpn5t
pvalue,1.086784
gene_accession_id,MGI:1918025
parameter_id,TCPLA_CSD_030_001
mouse_life_stage,Early adult
gene_symbol,Zmynd8
parameter_name,Tremor
mouse_strain,129SV
