analysis_id,v59uly8634xr54z
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:88461
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7818938
gene_symbol,Col6a3
parameter_name,Total CD4+ T cells - % of CD45+
