parameter_name,Glucose response AUC
analysis_id,npj443jfb0nmk81
mouse_strain,C57BL
gene_symbol,Tox
pvalue,0.6536543
gene_accession_id,MGI:2181659
parameter_id,ESLIM_004_001_701
mouse_life_stage,Early adult
