gene_symbol,Ola1
parameter_name,PP1 startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_002
analysis_id,71xynd9tr48kt7r
gene_accession_id,MGI:1914309
pvalue,0.8902169
mouse_life_stage,Early adult
