gene_symbol,Hnf4a
parameter_id,UCD_OWT_008_001
analysis_id,0801d2w7yba677o
mouse_strain,C57BL
parameter_name,Liver weight
pvalue,0.7051144
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
