analysis_id,35f3p7e79fj4zj4
mouse_life_stage,Early adult
pvalue,0.4400254
parameter_name,Iron
gene_accession_id,MGI:3650254
mouse_strain,C57BL
parameter_id,IMPC_CBC_011_001
gene_symbol,Zfp683
