parameter_name,Mean cell hemoglobin concentration
gene_symbol,Lpgat1
mouse_strain,C57BL
parameter_id,IMPC_HEM_007_001
analysis_id,h55h7411gcw9055
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
pvalue,0.5213062
