parameter_name,Center permanence time
parameter_id,IMPC_OFD_016_001
pvalue,0.7771755
mouse_strain,C57BL
gene_accession_id,MGI:1924054
analysis_id,74xh1nl8h07670c
gene_symbol,Kdm4c
mouse_life_stage,Early adult
