gene_symbol,Fgb
mouse_life_stage,Early adult
parameter_id,MGP_CSD_025_001
parameter_name,Ventral coat/hair presence
mouse_strain,C57BL
gene_accession_id,MGI:99501
pvalue,0.05967389
analysis_id,61605vyjmvrb381
