gene_symbol,Lamb3
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
parameter_id,MGP_PBI_030_001
analysis_id,355g8och84ygm31
mouse_life_stage,Early adult
pvalue,0.36081
gene_accession_id,MGI:99915
