parameter_name,DN CD25- NKT cells
analysis_id,31l1u428666xs5n
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
pvalue,0.4406883
gene_symbol,Lurap1
mouse_strain,C57BL
parameter_id,IMPC_IMM_025_001
