parameter_name,NKT cells (panel A)
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_004_001
pvalue,0.4966926
analysis_id,l6399te8gtq0r36
mouse_strain,129SV
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
