Gene_symbol,Sgip1
mouse_strain,C57BL
Pvalue,0.8538281
Analysis_id,263l27i02p646v3
Parameter_name,Ventral coat/hair presence
Gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
Parameter_id,MGP_CSD_025_001
