analysis_id,8rb9imn75cyf87q
parameter_id,IMPC_EYE_006_001
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
parameter_name,Narrow eye opening
mouse_life_stage,Early adult
pvalue,0.8007783
mouse_strain,C57BL
