gene_symbol,Lurap1
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
analysis_id,18ns6f51ts02s6i
pvalue,3.658178e-05
