gene_symbol,Ivd
parameter_id,IMPC_XRY_021_001
gene_accession_id,MGI:1929242
parameter_name,Humerus
pvalue,0.5212592
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,s67252q8lq49518
